scenario,scenario_name,run_id,seed,submitted_tx,routed_tx,finality_certificates,receipts,reward_events,total_reward,quarantine_events,reconfiguration_events,evidence_events,active_validators,quarantined_validators,finality_success_rate,receipt_success_rate,throughput,mean_finality_latency,mean_receipt_latency,cross_shard_ratio,shard1_load,shard2_load,shard_load_std,reward_gini,reward_hhi,owner_concentration,nakamoto_coefficient,malicious_committee_probability
Q6,Risky/offline validator case,78,2262,255,255,250,241,723,3615,3,2,760,11,3,98.0392,94.5098,2.41,18.0995,23.5413,17.6471,115.6628,115.9984,0.1678,25.527,24.1822,32.8631,2,0.0
Q6,Risky/offline validator case,79,2263,313,313,306,302,906,4530,4,2,932,10,4,97.7636,96.4856,2.8946,17.7302,23.2223,14.377,122.9167,122.8826,0.0171,29.7572,22.3859,33.9735,1,0.0
Q6,Risky/offline validator case,80,2264,308,308,300,293,879,4395,2,2,916,12,2,97.4026,95.1299,2.8539,17.9809,23.4078,17.5325,119.138,118.9138,0.1121,30.1536,34.001,40.2048,1,0.0
Q6,Risky/offline validator case,81,2265,271,271,266,261,783,3915,4,2,808,10,4,98.155,96.31,2.61,18.3348,23.8482,22.1402,116.8652,116.7824,0.0414,31.4049,22.9072,36.092,1,0.0
Q6,Risky/offline validator case,82,2266,314,314,306,299,897,4485,6,2,934,8,6,97.4522,95.2229,2.8567,18.2357,23.7091,20.0637,131.456,131.7894,0.1667,32.4548,28.0517,41.1371,1,0.0
Q6,Risky/offline validator case,83,2267,323,323,316,312,936,4680,3,2,962,11,3,97.8328,96.5944,2.8978,17.989,23.5373,17.3375,120.3841,120.9758,0.2958,24.2051,24.0033,30.3846,2,0.0
Q6,Risky/offline validator case,84,2268,298,298,295,287,861,4305,4,2,891,10,4,98.9933,96.3087,2.87,18.104,23.6055,17.7852,109.0238,108.8393,0.0922,31.1382,22.8079,35.7491,1,0.0
Q6,Risky/offline validator case,85,2269,264,264,260,256,768,3840,3,2,788,11,3,98.4848,96.9697,2.56,18.364,23.8879,25.0,117.7531,118.0714,0.1592,33.3125,28.4307,43.2812,1,0.0
Q6,Risky/offline validator case,86,2270,280,280,271,267,801,4005,5,2,831,9,5,96.7857,95.3571,2.67,17.8402,23.3821,16.0714,110.862,111.7546,0.4463,25.0,30.6836,44.4195,1,0.0
Q6,Risky/offline validator case,87,2271,235,235,227,222,666,3330,4,2,697,10,4,96.5957,94.4681,2.22,18.1521,23.5662,20.4255,107.1873,106.4287,0.3793,30.1351,34.0008,40.1802,1,0.0
Q6,Risky/offline validator case,88,2272,305,305,297,291,873,4365,3,2,907,11,3,97.377,95.4098,2.8623,17.9101,23.4486,17.7049,128.1117,127.8076,0.1521,26.7468,22.0003,30.1031,2,0.0
Q6,Risky/offline validator case,89,2273,305,305,298,290,870,4350,2,2,908,12,2,97.7049,95.082,2.8525,17.962,23.4197,18.0328,111.3128,111.1091,0.1019,24.8828,24.0609,31.6552,2,0.0
Q6,Risky/offline validator case,90,2274,220,220,217,209,627,3135,1,2,657,13,1,98.6364,95.0,2.09,18.0179,23.4786,18.1818,82.6748,83.1964,0.2608,27.2249,22.0126,30.7177,2,0.0
