scenario,scenario_name,runs,api_elapsed_ms_mean,api_elapsed_ms_sd,api_elapsed_ms_ci95_half_width,api_elapsed_ms_median,api_elapsed_ms_q1,api_elapsed_ms_q3,real_submitted_tx_per_sec_mean,real_submitted_tx_per_sec_sd,real_submitted_tx_per_sec_ci95_half_width,real_submitted_tx_per_sec_median,real_submitted_tx_per_sec_q1,real_submitted_tx_per_sec_q3,real_receipts_per_sec_mean,real_receipts_per_sec_sd,real_receipts_per_sec_ci95_half_width,real_receipts_per_sec_median,real_receipts_per_sec_q1,real_receipts_per_sec_q3,finality_success_rate_mean,finality_success_rate_sd,finality_success_rate_ci95_half_width,finality_success_rate_median,finality_success_rate_q1,finality_success_rate_q3,receipt_success_rate_mean,receipt_success_rate_sd,receipt_success_rate_ci95_half_width,receipt_success_rate_median,receipt_success_rate_q1,receipt_success_rate_q3,mean_finality_latency_logical_mean,mean_finality_latency_logical_sd,mean_finality_latency_logical_ci95_half_width,mean_finality_latency_logical_median,mean_finality_latency_logical_q1,mean_finality_latency_logical_q3,mean_receipt_latency_logical_mean,mean_receipt_latency_logical_sd,mean_receipt_latency_logical_ci95_half_width,mean_receipt_latency_logical_median,mean_receipt_latency_logical_q1,mean_receipt_latency_logical_q3,cross_shard_ratio_mean,cross_shard_ratio_sd,cross_shard_ratio_ci95_half_width,cross_shard_ratio_median,cross_shard_ratio_q1,cross_shard_ratio_q3,shard_load_std_mean,shard_load_std_sd,shard_load_std_ci95_half_width,shard_load_std_median,shard_load_std_q1,shard_load_std_q3,reward_gini_mean,reward_gini_sd,reward_gini_ci95_half_width,reward_gini_median,reward_gini_q1,reward_gini_q3,reward_hhi_mean,reward_hhi_sd,reward_hhi_ci95_half_width,reward_hhi_median,reward_hhi_q1,reward_hhi_q3,owner_concentration_mean,owner_concentration_sd,owner_concentration_ci95_half_width,owner_concentration_median,owner_concentration_q1,owner_concentration_q3,nakamoto_coefficient_mean,nakamoto_coefficient_sd,nakamoto_coefficient_ci95_half_width,nakamoto_coefficient_median,nakamoto_coefficient_q1,nakamoto_coefficient_q3,reconfiguration_events_mean,reconfiguration_events_sd,reconfiguration_events_ci95_half_width,reconfiguration_events_median,reconfiguration_events_q1,reconfiguration_events_q3,quarantine_events_mean,quarantine_events_sd,quarantine_events_ci95_half_width,quarantine_events_median,quarantine_events_q1,quarantine_events_q3
Q1,Normal Qtum mobile contract request,100,8.647122000000001,4.709903223642368,0.9345469816316578,7.8431,7.287974999999999,8.695549999999999,27026.653395999994,4032.9987123510205,800.2344410459584,27875.211750000002,25753.403749999998,29519.114675,26030.479670999994,3865.7886690168607,767.0563408013443,26763.456449999998,24391.7847,28240.3885,98.396465,0.732103204124868,0.14526515878783844,98.45855,98.07317499999999,98.908575,96.33055499999999,1.323322703291021,0.2625759340186339,96.41345,95.3469,97.25485,17.711301,0.15432881300730078,0.03062218468752999,17.720799999999997,17.60445,17.8102,23.209052999999997,0.17337181184501782,0.03440072879766582,23.203049999999998,23.083575,23.342275,12.187033,2.3269342116754514,0.46171423078519236,12.0141,10.835025,13.697775,0.154623,0.1900715058719861,0.03771431039499769,0.13690000000000002,0.0602,0.18532500000000002,29.851559,4.484740467769736,0.8898698059265691,29.191499999999998,26.995974999999998,32.475625,26.295545000000008,4.889116254661052,0.9701067350395102,24.2361,22.3724,28.26135,37.518073,6.880128264585074,1.3651667131143719,36.0,32.804475,40.060725,1.34,0.4760952285695234,0.09446762230600493,1.0,1.0,2.0,1.94,0.31204765240863036,0.06191702415876936,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Q2,High-load Qtum mobile dApp,100,13.190221,4.873086164342889,0.9669260173451587,12.493500000000001,11.697700000000001,13.485175,34393.534378,3854.4855650694153,764.8135597556258,34949.09005,33417.96295,36285.5619,33141.691481,3711.330890736934,736.4085666058044,33739.9918,32402.486425,34987.736300000004,98.24813400000001,0.5751099928560003,0.11411429968069131,98.2478,97.85977500000001,98.607525,96.36791100000002,0.8141348846989906,0.16154202390343042,96.46095,95.86475,96.89280000000001,18.104286,0.11874425282849697,0.023561435935653654,18.104799999999997,18.020249999999997,18.1961,23.601423,0.1331359977996221,0.026417070369003287,23.60315,23.513575,23.69345,19.195156,1.6928095212445378,0.33589013477287094,19.20625,18.2326,20.314275000000002,0.154924,0.09951079644993809,0.01974510091740972,0.14129999999999998,0.0781,0.2182,28.918958000000003,4.612476090155762,0.9152153246515555,28.1231,26.637475000000002,31.811,25.593114,5.1283163019782,1.0175692139083465,24.00405,22.087374999999998,28.00645,35.72964600000001,7.6034556305897825,1.5086905552260386,32.2551,31.261975,38.895975,1.6,0.49236596391733095,0.09769608919506804,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3,Cross-contract/cross-shard Qtum request,100,9.725191,4.171020824692582,0.8276210225450746,9.005949999999999,8.292,9.895225,29375.11591,4168.702112744257,827.1609397897215,30209.48175,27297.5423,31937.744225,27945.648860999998,3940.262403399923,781.833545421847,28756.074099999998,26046.120725,30410.3813,97.133757,1.063567282258108,0.21103482305265575,97.16645,96.40854999999999,97.957025,95.155109,1.1859427807491858,0.23531677690818795,95.22605,94.36857499999999,95.917075,19.799090999999997,0.20856893107337657,0.04138460085938398,19.796,19.656375,19.90905,25.300722,0.2214699585528794,0.043944444601054865,25.27075,25.157625,25.437,47.637816,3.156246272980138,0.6262677357983291,47.6037,45.401175,49.548100000000005,0.17624500000000004,0.1127670284348231,0.022375424939163762,0.16344999999999998,0.08705,0.2474,28.939695000000007,5.032948320883279,0.9986461374363763,27.985950000000003,25.705825,32.250600000000006,26.139644000000004,5.125519314005798,1.017014230813546,24.114,22.123925,28.0639,36.617498000000005,7.635706535148208,1.5150898343786703,33.540400000000005,31.588900000000002,40.427575,1.48,0.5021167315686782,0.09963085304147062,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Q4,Poor mobile connectivity,100,8.428232,3.934038490382896,0.7805985860505371,8.047350000000002,7.4582749999999995,8.6746,30101.918583000006,3567.1129557869376,707.7925994818684,30382.004350000003,28369.524425,32279.4848,24365.207151000002,2934.523792289264,582.2731853265902,24510.2971,22951.98775,26288.740175,88.17858400000001,2.208443130842554,0.43820302966607033,88.47455,86.91765,89.7284,80.97601100000001,2.7950040224359847,0.5545894360852436,81.0606,79.075825,82.818275,21.381878,0.16329063794475185,0.032400405183264355,21.3872,21.261775,21.4705,26.888466000000008,0.1882616974084509,0.03735520513176465,26.8825,26.747975,26.993325,15.203411999999997,2.3350402375041925,0.46332264217106794,15.0824,13.421925,16.486025,0.144885,0.09777870125539569,0.019401415652745942,0.125,0.06535,0.219525,29.671533999999998,6.225020502618786,1.2351791204785296,29.2735,25.824199999999998,32.4673,28.312792999999996,6.3318006900913595,1.2563666262853652,27.0494,23.511575,30.16135,39.759294,9.024874590894758,1.7907309148493364,38.09805,33.40175,41.12585,1.24,0.42923469599092784,0.08516947599608751,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.96,1.1627205992495324,0.2307089922899256,2.0,1.0,3.0
Q5,Stake-skewed validator set,100,9.834887000000002,1.14106104163554,0.22641126615193935,9.700199999999999,8.996875,10.429875,32341.994901000002,2851.997181472958,565.8981153133628,32492.35805,31500.74585,33922.304975,31207.601367999996,2727.7459493211354,541.243975205214,31518.889799999997,30338.839775,32822.1129,98.44823000000001,0.6701478837999985,0.1329718791053628,98.5052,97.90175,98.897025,96.50615599999999,0.9014032497448098,0.17885796082886662,96.57374999999999,96.093075,97.097025,17.94619,0.1373253230232296,0.027248323381409777,17.9417,17.855825,18.0215,23.444263999999997,0.14852510961402643,0.029470604022083645,23.42325,23.33885,23.53755,16.263562,1.9225458447085364,0.3814748055123257,16.288649999999997,15.009224999999999,17.51775,0.137592,0.0976915974799359,0.019384132373965173,0.11965,0.053774999999999996,0.19544999999999998,28.87334,5.156928463805571,1.0232464875600642,28.340049999999998,26.498025,32.174350000000004,25.890973999999996,5.291968998829235,1.05004145943354,24.0376,22.2793,28.020674999999997,36.601029999999994,7.832212170191055,1.5540808155905699,33.832,31.348775000000003,39.311725,1.42,0.49604496374885826,0.09842608257809946,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6,Risky/offline validator case,100,9.377201,3.8214158178121953,0.7582518044466374,8.85465,8.221975,9.376850000000001,31043.713592,4087.2875771512267,811.0065296274317,31789.8341,30086.224075,33609.2407,29894.385763000002,3963.3051213184103,786.4057205721166,30518.99415,28860.696525,32187.140574999998,98.293282,0.7450256397703044,0.14782925037408395,98.34084999999999,97.8644,98.914975,96.295254,1.1126276175056793,0.22076945793714878,96.4611,95.6793,96.85022500000001,18.125798999999997,0.1525645049833287,0.030272107698645172,18.13535,18.005025,18.220325,23.631958,0.16481832249571968,0.03270353094152319,23.6278,23.518025,23.739600000000003,19.307751999999997,2.223542713346602,0.4411991144225939,19.236849999999997,17.845025,20.548949999999998,0.130088,0.09874133362304038,0.0195924227989411,0.1167,0.04765,0.18430000000000002,29.052607,5.7963873773527546,1.150129009165429,28.6708,25.280675,32.3872,27.567015,5.513141281499389,1.093926838681339,26.040599999999998,24.011375,30.0535,38.235117,7.915297028074017,1.5705666539330763,36.2698,32.4324,41.003025,1.34,0.47609522856952335,0.09446762230600492,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.33,1.6700269156483372,0.33136957155051916,3.0,2.0,4.0
Q7,Hot-shard Qtum workload,100,12.076321,4.259983043507178,0.8452730568066494,11.43495,10.455675,12.68885,32379.043846999997,3880.5337654264,769.9820878260881,32782.1955,30314.099825,34974.51405,29906.569256,3643.5502141528436,722.9594098595164,30456.88115,27768.830224999998,31947.856175,98.12792299999997,0.6737870157527291,0.13369396183630128,98.1417,97.743775,98.640975,92.36120099999998,1.4993513804036003,0.2975038425264767,92.477,91.67490000000001,93.19607500000001,18.330610999999998,0.15557225473532982,0.030868910503026835,18.33025,18.2118,18.44335,23.825133,0.16835285638662423,0.03340485914772466,23.82845,23.704575,23.935074999999998,22.995348999999997,2.4528741369289926,0.4867034442411737,22.7069,21.363075000000002,24.360225,0.14768100000000003,0.09168336783944969,0.018191969263844206,0.13219999999999998,0.078375,0.21157499999999999,30.096189,4.580866199239215,0.9089432365123601,30.03455,27.479799999999997,32.1881,25.918117,5.064208911648413,1.0048489168474117,24.02205,22.46565,28.148025,37.407267000000004,7.271244807272262,1.4427727205159107,35.3421,33.094325000000005,38.92245,1.28,0.45126085985421294,0.08953994476751133,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
