factor_id,factor,level_id,level_value,metric,n,mean,sd,median,q1,q3,iqr,min,max,ci_low,ci_high,ci_half
WORKLOAD,Transactions/run,DEFAULT,24,mean_finality_latency,100,19.514583333333334,0.7680071495513991,19.458333333333332,18.90625,20.0,1.09375,18.291666666666668,21.083333333333332,19.36219405282539,19.666972613841278,0.1523892805079451
WORKLOAD,Transactions/run,DEFAULT,24,mean_receipt_latency,100,33.79958333333333,1.1195496322488172,33.708333333333336,32.90625,34.5,1.59375,32.041666666666664,36.083333333333336,33.57744039748829,34.02172626917837,0.22214293584504427
WORKLOAD,Transactions/run,DEFAULT,24,finality_receipt_gap_pp,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD,Transactions/run,DEFAULT,24,eligible_validators,100,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0
WORKLOAD,Transactions/run,DEFAULT,24,active_committees,100,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0
WORKLOAD,Transactions/run,DEFAULT,24,committee_recoveries,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD,Transactions/run,DEFAULT,24,reconfiguration_events,100,0.01,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,1.0,-0.00984216951586417,0.029842169515864173,0.01984216951586417
WORKLOAD,Transactions/run,DEFAULT,24,shard_load_std,100,2.42,0.6384957068585252,2.0,2.0,3.0,1.0,1.0,6.0,2.293308599493616,2.5466914005063837,0.12669140050638378
WORKLOAD,Transactions/run,DEFAULT,24,reward_gini,100,50.46950000000001,5.964878752778932,50.38,46.535000000000004,54.527499999999996,7.992499999999993,36.41,65.38,49.28593864645785,51.65306135354217,1.1835613535421605
WORKLOAD,Transactions/run,DEFAULT,24,reward_hhi,100,19.4215,2.9040293759123057,18.465,17.365000000000002,21.4025,4.037499999999998,14.64,27.41,18.845277568440988,19.997722431559016,0.5762224315590122
WORKLOAD,Transactions/run,DEFAULT,24,nakamoto_coefficient,100,2.57,0.497569851956243,3.0,2.0,3.0,1.0,2.0,3.0,2.4712713465150076,2.668728653484992,0.09872865348499214
WORKLOAD,Transactions/run,DEFAULT,24,owner_concentration_pct,100,29.325300000000002,6.424711675329182,26.92,24.03,34.61,10.579999999999998,20.19,43.26,28.05049781847567,30.600102181524335,1.2748021815243333
WORKLOAD,Transactions/run,DEFAULT,24,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD,Transactions/run,DEFAULT,24,slashing_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WORKLOAD,Transactions/run,DEFAULT,24,reward_events,100,120.0,0.0,120.0,120.0,120.0,0.0,120.0,120.0,120.0,120.0,0.0
WORKLOAD,Transactions/run,DEFAULT,24,evidence_count,100,397.01,0.09999999999999998,397.0,397.0,397.0,0.0,397.0,398.0,396.9901578304841,397.02984216951586,0.01984216951586417
WORKLOAD,Transactions/run,DEFAULT,24,model_time,100,54.67,6.699999999999999,50.0,49.0,62.0,13.0,47.0,63.0,53.340574642437105,55.9994253575629,1.3294253575628994
WORKLOAD,Transactions/run,HIGH,40,submitted_tx,100,40.0,0.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,40.0,0.0
