scenario_id,scenario,name,metric,n,mean,sd,median,q1,q3,iqr,min,max,ci_low,ci_high,ci_half
1,Q1,Normal,finality_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
1,Q1,Normal,receipt_success_pct,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0
1,Q1,Normal,logical_throughput,100,0.44438799602201895,0.05281975499356805,0.48,0.3870967741935484,0.4897959183673469,0.10269914417379855,0.38095238095238093,0.5106382978723404,0.43390741069833105,0.45486858134570685,0.010480585323687905
1,Q1,Normal,mean_finality_latency,100,19.31791666666667,0.7998679175124909,19.375,18.875,19.958333333333332,1.0833333333333321,18.291666666666668,21.625,19.15920551857083,19.47662781476251,0.15871114809584105
1,Q1,Normal,mean_receipt_latency,100,33.51541666666667,1.167683164073652,33.625,32.875,34.458333333333336,1.5833333333333357,32.041666666666664,36.875,33.283722993842964,33.74711033949037,0.2316936728237004
1,Q1,Normal,cross_shard_ratio_pct,100,11.625,6.134453811793154,12.5,8.333333333333334,16.666666666666668,8.333333333333334,4.166666666666667,29.166666666666668,10.407791275791611,12.842208724208389,1.217208724208389
1,Q1,Normal,reconfiguration_events,100,0.05,0.2190429135575903,0.0,0.0,0.0,0.0,0.0,1.0,0.006537133779415102,0.0934628662205849,0.0434628662205849
1,Q1,Normal,shard_load_std,100,2.68,1.2050399213807037,2.0,2.0,3.0,1.0,1.0,9.0,2.4408939360658044,2.919106063934196,0.23910606393419562
1,Q1,Normal,eligible_validators,100,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0
1,Q1,Normal,committee_recoveries,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Q1,Normal,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Q1,Normal,slashing_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Q1,Normal,reward_gini,100,50.28789999999999,5.746510982739656,49.995,46.53,54.245,7.714999999999996,35.7,63.58,49.14766754955704,51.428132450442945,1.1402324504429546
1,Q1,Normal,reward_hhi,100,19.287999999999997,2.7006961317333715,18.490000000000002,17.43,21.145,3.715,14.68,25.79,18.752123295433076,19.823876704566917,0.5358767045669219
1,Q1,Normal,nakamoto_coefficient,100,2.57,0.497569851956243,3.0,2.0,3.0,1.0,2.0,3.0,2.4712713465150076,2.668728653484992,0.09872865348499214
1,Q1,Normal,owner_concentration_pct,100,28.7991,6.196976795506048,25.0,24.03,34.61,10.579999999999998,20.19,43.58,27.569485359376923,30.028714640623075,1.2296146406230775
2,Q2,High load,finality_success_pct,100,95.65,1.1021100056920201,95.0,95.0,97.5,2.5,95.0,97.5,95.4313174644193,95.86868253558072,0.21868253558071094
2,Q2,High load,receipt_success_pct,100,95.65,1.1021100056920201,95.0,95.0,97.5,2.5,95.0,97.5,95.4313174644193,95.86868253558072,0.21868253558071094
2,Q2,High load,logical_throughput,100,0.6261676168217649,0.05927535074531666,0.59375,0.5846153846153846,0.7169811320754716,0.132365747460087,0.5846153846153846,0.78,0.6144061012457561,0.6379291323977737,0.01176151557600879
2,Q2,High load,mean_finality_latency,100,22.694338731443995,0.6984469698821621,22.68859649122807,22.144062078272604,23.203947368421055,1.0598852901484506,21.23076923076923,24.13157894736842,22.55575169970156,22.83292576318643,0.13858703174243542
2,Q2,High load,mean_receipt_latency,100,37.209318488529014,1.0185528398294534,37.16835357624831,36.39321862348178,37.940789473684205,1.5475708502024261,35.0,39.3421052631579,37.00721550744141,37.41142146961662,0.20210298108760866
2,Q2,High load,cross_shard_ratio_pct,100,15.45,5.2750125664075505,15.0,12.5,20.0,7.5,5.0,27.5,14.403323064590277,16.496676935409724,1.0466769354097234
